patternlen,textlen,cmp,timetaken
15,845,131,7000
11,873,135,4000
18,903,111,3000
23,933,170,5000
24,962,174,4000
13,989,178,5000
23,1016,129,4000
22,1044,139,4000
11,1071,195,5000
20,1099,131,3000
15,1128,152,4000
15,1157,165,4000
13,1187,185,5000
25,1217,173,4000
21,1245,215,5000
15,1275,179,4000
31,1304,194,3000
23,1332,177,4000
15,1361,186,4000
17,1390,209,5000
16,1420,224,5000
7,1450,306,8000
10,1478,272,7000
29,1504,204,4000
17,1533,224,5000
19,1560,220,6000
12,1587,305,7000
11,1616,251,6000
13,1645,305,33000
24,1675,305,6000
