patternlen,textlen,cmp,timetaken
15,845,133,8000
11,873,135,4000
18,903,111,3000
23,933,159,4000
24,962,156,4000
13,989,174,5000
23,1016,124,4000
22,1044,139,4000
11,1071,178,5000
20,1099,131,3000
15,1128,152,4000
15,1157,165,4000
13,1187,183,5000
25,1217,143,4000
21,1245,195,5000
15,1275,179,5000
31,1304,176,4000
23,1332,171,4000
15,1361,186,5000
17,1390,201,4000
16,1420,194,4000
7,1450,309,6000
10,1478,248,6000
29,1504,204,4000
17,1533,215,5000
19,1560,208,5000
12,1587,305,6000
11,1616,251,5000
13,1645,299,6000
24,1675,275,5000
